round,agent,threshold,price,traded
0, 1, 95, 110, false
0, 2, 110, 110, true
0, 3, 105, 110, false
0, 4, 95, 110, true
0, 5, 100, 110, true
1, 1, 95, 110, false
1, 2, 110, 110, true
1, 3, 105, 110, false
1, 4, 95, 110, true
1, 5, 100, 110, true
2, 1, 95, 110, false
2, 2, 110, 110, true
2, 3, 105, 110, false
2, 4, 95, 110, true
2, 5, 110, 110, true
3, 1, 95, 110, false
3, 2, 110, 110, true
3, 3, 105, 110, false
3, 4, 95, 110, true
3, 5, 100, 110, true
4, 1, 95, 110, false
4, 2, 110, 110, true
4, 3, 105, 110, false
4, 4, 95, 110, true
4, 5, 100, 110, true
