round,agent,threshold,price,traded
0, 1, 115, 115, true
0, 2, 120, 115, true
0, 3, 120, 115, true
0, 4, 100, 115, true
0, 5, 115, 115, true
1, 1, 110, 110, true
1, 2, 120, 110, true
1, 3, 120, 110, true
1, 4, 105, 110, true
1, 5, 110, 110, true
2, 1, 110, 115, false
2, 2, 120, 115, true
2, 3, 120, 115, true
2, 4, 100, 115, true
2, 5, 120, 115, false
3, 1, 115, 115, true
3, 2, 120, 115, true
3, 3, 120, 115, true
3, 4, 100, 115, true
3, 5, 115, 115, true
4, 1, 115, 120, false
4, 2, 120, 120, true
4, 3, 120, 120, true
4, 4, 100, 120, true
4, 5, 120, 120, true
