round,agent,threshold,price,traded
0,1,115,115,true
0,2,120,115,true
0,3,120,115,true
0,4,100,115,true
0,5,115,115,true
1,1,110,115,false
1,2,120,115,true
1,3,120,115,true
1,4,100,115,true
1,5,115,115,true
2,1,115,120,false
2,2,120,120,true
2,3,115,120,false
2,4,110,120,true
2,5,120,120,true
3,1,115,120,false
3,2,120,120,true
3,3,120,120,true
3,4,115,120,true
3,5,120,120,true
4,1,115,120,false
4,2,120,120,true
4,3,115,120,false
4,4,110,120,true
4,5,120,120,true
5,1,115,125,false
5,2,120,125,false
5,3,120,125,false
5,4,105,125,false
5,5,125,125,false
6,1,115,125,false
6,2,120,125,false
6,3,120,125,false
6,4,100,125,false
6,5,125,125,false
7,1,115,120,false
7,2,120,120,true
7,3,120,120,true
7,4,100,120,true
7,5,120,120,true
8,1,115,120,false
8,2,120,120,true
8,3,120,120,true
8,4,100,120,true
8,5,120,120,true
9,1,115,120,false
9,2,120,120,true
9,3,120,120,true
9,4,100,120,true
9,5,120,120,true
10,1,115,120,false
10,2,120,120,true
10,3,120,120,true
10,4,100,120,true
10,5,120,120,true
11,1,115,120,false
11,2,120,120,true
11,3,120,120,true
11,4,100,120,true
11,5,120,120,true
12,1,115,120,false
12,2,120,120,true
12,3,120,120,true
12,4,100,120,true
12,5,120,120,true
13,1,115,120,false
13,2,120,120,true
13,3,120,120,true
13,4,100,120,true
13,5,120,120,true
14,1,115,120,false
14,2,120,120,true
14,3,120,120,true
14,4,100,120,true
14,5,120,120,true
